code,name,pe,pb,eps
AMMA,Alliance Mma Inc.,0.0,1.0965,-1.176574
SSC,"Seven Stars Cloud Group, Inc.",0.0,10.880158,-0.313602
GERN,杰龙,0.0,5.343057,-0.174465
GLG,中国商业信贷公司,4.69841,4.701573,0.168142
CNAT,Conatus Pharmaceuticals Inc.,0.0,7.85547,-0.593648
GRNQ,Greenpro Capital Corp.,0.0,42.84891,-0.041346
CRON, Cronos Group Inc.,0.0,0.0,0.0
ADSK,欧特克,0.0,-267.881864,-1.894145
SYBX,"Synlogic, Inc.",4.424599,1.591413,2.045383
SPLK,Splunk Inc,0.0,16.034654,-1.955666
TLRY,Tilray Inc.,0.0,95.800058,-0.164147
SITO,"SITO Mobile, Ltd.",0.0,2.704093,-0.904724
LTRX,创力,154.454593,4.598344,0.037422
IDXG,Interpace Diagnostics Group Inc,0.0,0.987297,-0.86727
RGSE,"Real Goods Solar, Inc.",0.0,-142.963333,-2.29786
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303
SNOA,"Sonoma Pharmaceuticals, Inc.",0.0,0.981693,-2.900037
ADAP,Adaptimmune Therapeutics plc,0.0,5.861617,-0.965384
TRPX,Therapix Biosciences Ltd.,0.0,2.714642,-13.69468
BRY,Berry Petroleum Corp,0.0,0.0,0.0
CLGN,Collplant Holdings Ltd.,0.0,7.271128,-2.26235
FTEK,燃料技术,0.0,0.834985,-0.14605
PTIE,Pain Therapeutics,0.0,1.919862,-1.449956
IVTY,"Invuity, Inc.",0.0,40.776599,-1.940173
KZIA,Kazia Therapeutics Limited,0.0,0.88323,-0.99328
IDRA,井寺制药,0.0,2.929305,-2.794715
CTRN,Citi Trends,22.038904,2.130025,1.522308
AVGR,"Avinger, Inc.",0.0,2.435885,-36.563374
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457
LMFA,"LM Funding America, Inc",0.0,1.757264,-2.133415
ARCI,Appliance Recycling Centers Of America,0.0,0.228481,-1.043672
PTLA,Portola Pharmaceuticals Inc.,0.0,8.552021,-5.74756
EVLO,Evelo Biosciences,0.0,2.642441,-9.350357
EIGR,"Eiger BioPharmaceuticals, Inc.",0.0,3.613023,-3.848881
CDMO,"Avid Bioservices, Inc.",0.0,8.143281,-0.563053
FVE,Five Star Quality Care,0.0,0.424477,-0.735573
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337
FLDM,Fluidigm Corporation,0.0,8.915879,-1.42746
MNOV,美第奇新星生物技术,0.0,5.839553,-0.341601
SMIT,Schmitt Industries,0.0,1.192194,-0.150944
VECO,Veeco Instruments Inc,0.0,0.891326,-5.984145
STAF,Staffing 360 Solutions Inc.,0.0,-1.17074,-5.806239
SKIS,"Peak Resorts, Inc.",0.0,0.971278,-0.017736
TELL,Tellurian Inc.,0.0,6.197614,-0.432909
AMD,AMD,73.160387,26.595495,0.327773
COCP,"Cocrystal Pharma, Inc.",350.477923,1.022707,0.010985
RIBT,RiceBran Technologies,0.0,4.624426,-0.221659
XSPL,"Xspand Products Lab, Inc.",0.0,5.32632,-0.570498
NSYS,Nortech Systems Incorporated,0.0,0.555972,-0.878575
MAG,迈力达电子,0.0,3.627711,-0.66
MXWL,Maxwell Technologies,0.0,1.835981,-1.150012
ACRS,Aclaris Therapeutics,0.0,2.747664,-3.38642
GSKY,Greensky Inc.,3.663582,167.796846,5.309012
REFR,Research Frontiers Incorporated,0.0,12.415645,-0.094959
DRIO,LabStyle Innovations Corp,0.0,5.855455,-0.103711
FORTY,配方系统,51.911771,0.834492,0.79
USLV,Velocitysharestm 3X Long Silver,0.0,0.0,0.0
UBX,Unity Biotechnology,0.0,3.882793,-12.895898
GNMK,GenMark Diagnostics,0.0,8.556835,-1.041754
KOOL,热动力医疗,0.0,0.587613,-2.120923
SIEB,Siebert Financial Corp,75.220203,48.168522,0.205264
NOVN,Novan Inc.,0.0,16.933468,-1.49087
TCDA,Tricida Inc.,0.0,-8.592889,-34.520897
MVIS,维视图像,0.0,8.334448,-0.361282
MSON,Misonix Inc,0.0,6.852703,-0.70321
HTGM,"HTG Molecular Diagnostics, Inc.",0.0,3.540362,-0.823943
RMBL,Rumbleon Inc.,0.0,15.03165,-1.191915
NWPX,西北管道,0.0,0.906533,-1.22482
OPRA,Opera,0.0,0.0,0.0
ARDX,Ardelyx,0.0,1.670827,-1.001986
OBAS,阿贝斯,0.0,0.810657,-0.246997
MDXG,MiMedx Group Inc.,13.420066,3.468086,0.331593
NVMM,"Novume Solutions, Inc.",0.0,20.760732,-0.451029
CFMS,"ConforMIS, Inc.",0.0,1.387589,-1.010471
VSAR,Versartis Inc,0.0,0.946259,-1.048764
AMCN,航美传媒,0.0,0.126699,-1.424327
ELOX,"Eloxx Pharmaceuticals, Inc.",0.0,8.761544,-3.713997
NEPT,Neptune Technologies & Bioressources,45.500001,4.39157,0.08
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788
NERV,Minerva Neurosciences,0.0,3.538909,-0.907455
HEBT,希伯伦科技,3.047844,0.589305,0.485622
VCEL,Vericel Corporation,0.0,5.89506,-0.472008
RAVE,RAVE Restaurant Group,0.0,7.286815,-0.211304
AQXP,"Aquinox Pharmaceuticals, Inc.",0.0,0.825444,-1.696466
MYOS,MYOS Corporation,0.0,2.647696,-0.632107
FNJN,"Finjan Holdings, Inc.",2.738645,1.828411,1.584725
JNCE,Jounce Therapeutics Inc.,0.0,2.499061,-0.997254
MSTR,MicroStrategy Incorporated,0.0,2.766664,-0.120549
STLR,Stellar Acquisition III Inc.,0.0,6.198464,-0.1728
MELI,MercadoLibre,0.0,104.885047,-1.454434
ABAC,奥信天力,19.041892,0.212864,0.09978
CSBR,"Champions Oncology, Inc.",0.0,31937.51407,-0.13429
TROV,TrovaGene,0.0,0.850073,-3.548187
BJRI,BJs餐饮,27.167162,5.321555,2.749643
CORI,"Corium International, Inc.",0.0,13.849429,-1.546149
APRI,Apricus Biosciences,0.0,1.308711,-1.126056
RVEN,Reven Housing Reit Inc,0.0,1.413767,-0.227387
ROKU,Roku Inc,23.72167,31.688542,2.66676
APWC,亚太电线电缆,9.258441,0.234364,0.289876
FANH,泛华金融控股集团,19.664951,2.693792,1.329777
CPIX,坎伯兰药业,0.0,1.517656,-0.297315
MHLD,Maiden Holdings,0.0,0.525532,-2.395481
IPIC,iPic Entertainment Inc.,0.0,-0.304052,-38.991913
VLRX,"Valeritas Holdings, Inc.",0.0,10.988477,-2.501041
CPAH,CounterPath Corporation,0.0,1.454976,-0.51
ASNS,Arsanis Inc.,0.528619,0.716453,3.575357
VNET,世纪互联,0.0,1.5493,-1.077393
DFBG,Differential Brands Group Inc.,0.0,1.307024,-0.880684
BIOL,Biolase,0.0,1.71725,-0.982835
AQMS,"Aqua Metals, Inc.",0.0,1.270066,-1.234358
HGSH,汉广厦房地产,6.90001,0.399184,0.217391
BPTH,"Bio-Path Holdings, Inc.",0.0,3.59112,-0.768309
OBLN,Obalon Therapeutics Inc,0.0,2.982031,-2.433571
UGLD,Velocitysharestm 3X Long Gold Et,0.0,0.0,0.0
MEET,MeetMe,0.0,1.793417,-1.020867
PLAB,福尼克斯,21.351384,0.979864,0.505822
CENX,世纪铝业,15.459688,1.286651,0.810495
LPSN,LivePerson,0.0,10.150751,-0.284513
VBIV,VBI Vaccines Inc.,0.0,1.04809,-0.893693
AGRX,"Agile Therapeutics, Inc.",0.0,0.366519,-0.750534
SSRM,SSR Mining Inc,0.0,1.099,0.0
HTHT,华住,51.302511,9.624599,0.674236
ABCD,新生,14.611084,-100.156284,0.940382
AVEO,AVEO制药公司,0.0,-7.004446,-0.238772
MCEP,Mid-Con Energy Partners,0.0,0.750348,-1.232463
XELA,"Exela Technologies, Inc.",0.0,-14.307036,-1.894507
PZZA,Papa John’S International,19.513566,-5.303038,2.290714
CATS,"Catasys, Inc.",0.0,-32.03948,-0.167198
IOTS,Adesto Technologies Corp,0.0,5.046137,-0.308491
CASA,Casa Systems,11.088771,11.244912,1.259833
SHSP,SharpSpring Inc,0.0,7.503032,-0.810009
DERM,Dermira,0.0,3.580467,-7.74454
ATXI,Avenue Therapeutics Inc.,0.0,8.37264,-2.415186
NSSC,NAPCO Security Technologies,39.971798,4.780571,0.381519
ENTX,Entera Bio Ltd.,0.0,-1.600796,-2.195727
QUMU,Qumu Corp,0.0,5.71308,-1.234831
CDNA,CareDx,0.0,26.614321,-2.629829
JG,极光,0.0,-24.06818,-0.308476
ZS,Zscaler Inc.,0.0,21.851569,-1.402254
CMLS,Cumulus Media,1.024342,0.225196,19.417343
FATE,Fate Therapeutics Inc,0.0,12.215225,-1.183321
DMRC,数字标识,0.0,4.26088,-2.578686
ONCS,OncoSec Medical Incorporated,0.0,2.288851,-1.045214
JCS,通信系统,0.0,0.731185,-1.190677
JASN,Jason Industries Inc.,0.0,-2.107861,-0.185984
RUN,Sunrun Inc.,11.418885,1.638617,1.240051
HBIO,哈佛生物科学,0.0,2.849914,-0.138252
CGEN,Compugen医疗,0.0,5.078287,-0.566548
PCTI,PC-Tel,32.992991,0.917739,0.13124
RTTR,"Ritter Pharmaceuticals, Inc.",0.0,1.000728,-3.222786
GURE,海湾资源,0.0,0.157255,-0.663828
SSNT,"SilverSun Technologies, Inc.",0.0,3.766422,-0.152682
CPRX,Catalyst Pharmaceutical Partners,0.0,4.57683,-0.222203
MOBL,MobileIron,0.0,9.419183,-0.537038
OBCI,Ocean Bio-Chem,14.610003,1.570675,0.301848
HBK,Hamilton Bancorp,0.0,0.935032,-1.895025
PAAS,泛美白银,24.338462,1.650309,0.65
TEAM,Atlassian Corporation PLC,0.0,22.5713,-0.516216
JAKK,JAKKS Pacific,0.0,1.455019,-4.479197
PLAY,Dave & Buster,19.31886,5.16177,2.973778
IIJI,首创网络,23.451197,1.41559,0.444327
NCTY,第九城市,0.0,-0.204251,-2.417868
NATR,天然阳光产品,0.0,1.377188,-0.760425
SBT,"Sterling Bancorp, Inc.",12.081356,2.091833,0.993266
FLKS,"Flex Pharma, Inc.",0.0,0.715503,-1.952334
ATVI,动视暴雪,112.591595,5.459777,0.658042
NTRA,"Natera, Inc.",0.0,-80.090006,-2.602126
MITK,Mitek Systems,80.066932,3.570125,0.111157
PFPT,Proofpoint,0.0,20.678861,-1.815134
MTLS,Materialise NV,3671.459036,8.065545,0.003756
PS,Pluralsight,0.0,18.280553,-4.171479
MOGO,Mogo Finance Technology Inc.,0.0,0.0,0.0
SSTI,Shotspotter Inc,145.865477,30.613213,0.320158
CCNI,"Command Center, Inc.",258.779148,1.434324,0.020674
IPDN,Professional Diversity Network,0.0,1.489813,-2.768344
ALQA,Alliqua BioMedical Inc,0.0,1.291494,-4.256263
TRIB,Trinity Biotech plc,0.0,1.239511,-1.913651
RBCN,卢比肯科技,0.0,0.751654,-2.516931
CYRX,"CryoPort, Inc.",0.0,16.389557,-0.35377
DGLY,Digital Ally,0.0,-13.064039,-1.769949
VICL,Vical Incorporated,0.0,0.541481,-0.963313
INTX,Intersections,116.152447,38.622806,0.013775
FEYE,FireEye Inc.,0.0,4.750519,-1.64259
SFIX,Stitch Fix Inc.,113.002079,12.963012,0.3361
METC,Ramaco Resources Inc.,47.220973,2.655478,0.182546
WMGIZ,Wright Medical Group Inc. - Con,0.0,0.0,0.0
AAME,美国大西洋,51.615369,0.538062,0.05231
RAVN,Raven Industries,31.077088,5.785295,1.565462
